[__main__]: [INFO]: => Creating model 'resnet12'
[__main__]: [INFO]: Number of model parameters: 12428807
[__main__]: [INFO]: Meta Val 0: 0.22925569117069244
[__main__]: [INFO]: Meta Val 1: 0.22952279448509216
[__main__]: [INFO]: Meta Val 2: 0.5923255085945129
[__main__]: [INFO]: Meta Val 3: 0.3680555522441864
[__main__]: [INFO]: Meta Val 4: 0.5586716532707214
[__main__]: [INFO]: Meta Val 5: 0.4294871687889099
[__main__]: [INFO]: Meta Val 6: 0.7410078644752502
[__main__]: [INFO]: Meta Val 7: 0.7411859035491943
[__main__]: [INFO]: Meta Val 8: 0.6834936141967773
[__main__]: [INFO]: Meta Val 9: 0.5470975637435913
[__main__]: [INFO]: Meta Val 10: 0.6104878783226013
[__main__]: [INFO]: Meta Val 11: 0.4611823260784149
[__main__]: [INFO]: Meta Val 12: 0.5009793639183044
[__main__]: [INFO]: Meta Val 13: 0.4236111342906952
[__main__]: [INFO]: Meta Val 14: 0.7381588220596313
[__main__]: [INFO]: Meta Val 15: 0.7549857497215271
[__main__]: [INFO]: Meta Val 16: 0.5433582663536072
[__main__]: [INFO]: Meta Val 17: 0.6225070953369141
[__main__]: [INFO]: Meta Val 18: 0.6369301676750183
[__main__]: [INFO]: Meta Val 19: 0.5149573087692261
[__main__]: [INFO]: Meta Val 20: 0.5999822020530701
[__main__]: [INFO]: Meta Val 21: 0.7414530515670776
[__main__]: [INFO]: Meta Val 22: 0.941417396068573
[__main__]: [INFO]: Meta Val 23: 0.8933404684066772
[__main__]: [INFO]: Meta Val 24: 0.9538818001747131
[__main__]: [INFO]: Meta Val 25: 0.9001068472862244
[__main__]: [INFO]: Meta Val 26: 0.9606481790542603
[__main__]: [INFO]: Meta Val 27: 0.9169337749481201
[__main__]: [INFO]: Meta Val 28: 0.9807692170143127
[__main__]: [INFO]: Meta Val 29: 0.8107194304466248
[__main__]: [INFO]: Meta Val 30: 0.8439280390739441
[__main__]: [INFO]: Meta Val 31: 0.9495192170143127
[__main__]: [INFO]: Meta Val 32: 0.7191060781478882
[__main__]: [INFO]: Meta Val 33: 0.9169337749481201
[__main__]: [INFO]: Meta Val 34: 0.861200213432312
[__main__]: [INFO]: Meta Val 35: 0.911057710647583
[__main__]: [INFO]: Meta Val 36: 0.946225106716156
[__main__]: [INFO]: Meta Val 37: 0.941417396068573
[__main__]: [INFO]: Meta Val 38: 0.9442663788795471
[__main__]: [INFO]: Meta Val 39: 0.9250355958938599
[__main__]: [INFO]: Meta Val 40: 0.8939636945724487
[__main__]: [INFO]: Meta Val 41: 0.914975106716156
[__main__]: [INFO]: Meta Val 42: 0.9342058897018433
[__main__]: [INFO]: Meta Val 43: 0.9538818001747131
[__main__]: [INFO]: Meta Val 44: 0.9529914855957031
[__main__]: [INFO]: Meta Val 45: 0.8568376302719116
[__main__]: [INFO]: Meta Val 46: 0.9274394512176514
[__main__]: [INFO]: Meta Val 47: 0.9424857497215271
[__main__]: [INFO]: Meta Val 48: 0.9333155751228333
[__main__]: [INFO]: Meta Val 49: 0.8972578644752502
[__main__]: [INFO]: Meta Val 50: 0.9073184132575989
[__main__]: [INFO]: Meta Val 51: 0.8933404684066772
[__main__]: [INFO]: Meta Val 52: 0.9302884340286255
[__main__]: [INFO]: Meta Val 53: 0.9154202342033386
[__main__]: [INFO]: Meta Val 54: 0.9562855958938599
[__main__]: [INFO]: Meta Val 55: 0.9442663788795471
[__main__]: [INFO]: Meta Val 56: 0.9097222685813904
[__main__]: [INFO]: Meta Val 57: 0.9634971618652344
[__main__]: [INFO]: Meta Val 58: 0.8933404684066772
[__main__]: [INFO]: Meta Val 59: 0.9394587278366089
[__main__]: [INFO]: Meta Val 60: 0.9525463581085205
[__main__]: [INFO]: Meta Val 61: 0.9009971618652344
[__main__]: [INFO]: Meta Val 62: 0.9274394512176514
[__main__]: [INFO]: Meta Val 63: 0.9376780390739441
[__main__]: [INFO]: Meta Val 64: 0.9447115659713745
[__main__]: [INFO]: Meta Val 65: 0.9610933065414429
[__main__]: [INFO]: Meta Val 66: 0.9514779448509216
[__main__]: [INFO]: Meta Val 67: 0.9505876302719116
[__main__]: [INFO]: Meta Val 68: 0.8732194304466248
[__main__]: [INFO]: Meta Val 69: 0.9241453409194946
[__main__]: [INFO]: Meta Val 70: 0.93660968542099
[__main__]: [INFO]: Meta Val 71: 0.9477386474609375
[__main__]: [INFO]: Meta Val 72: 0.9274394512176514
[__main__]: [INFO]: Meta Val 73: 0.9442663788795471
[__main__]: [INFO]: Meta Val 74: 0.8972578644752502
[__main__]: [INFO]: Meta Val 75: 0.941417396068573
[__main__]: [INFO]: Meta Val 76: 0.9121261239051819
[__main__]: [INFO]: Meta Val 77: 0.851584792137146
[__main__]: [INFO]: Meta Val 78: 0.9615384340286255
[__main__]: [INFO]: Meta Val 79: 0.9538818001747131
[__main__]: [INFO]: Meta Val 80: 0.773771345615387
[__main__]: [INFO]: Meta Val 81: 0.908386766910553
[__main__]: [INFO]: Meta Val 82: 0.9274394512176514
[__main__]: [INFO]: Meta Val 83: 0.9252136945724487
[__main__]: [INFO]: Meta Val 84: 0.9245904684066772
[__main__]: [INFO]: Meta Val 85: 0.9481837749481201
[__main__]: [INFO]: Meta Val 86: 0.9466702342033386
[__main__]: [INFO]: Meta Val 87: 0.9173789620399475
[__main__]: [INFO]: Meta Val 88: 0.9418625235557556
[__main__]: [INFO]: Meta Val 89: 0.8832799196243286
